# Territory names from CLDR
ਅਸੈਂਸ਼ਨ ਟਾਪੂ	અસૈંસ઼ન ટાપૂ
ਰਵਾਂਡਾ	રવાંડા
ਸਾਊਦੀ ਅਰਬ	સાઊદી અરબ
ਸੋਲੋਮਨ ਟਾਪੂ	સોલોમન ટાપૂ
ਸੇਸ਼ਲਸ	સેસ઼લસ
ਸੂਡਾਨ	સૂડાન
ਸਵੀਡਨ	સવીડન
ਸਿੰਗਾਪੁਰ	સિગાપુર
ਸੇਂਟ ਹੇਲੇਨਾ	સેંટ હેલેના
ਸਲੋਵੇਨੀਆ	સલોવેનીઆ
ਸਵਾਲਬਰਡ ਅਤੇ ਜਾਨ ਮਾਯੇਨ	સવાલબરડ અતે જાન માયેન
ਸਲੋਵਾਕੀਆ	સલોવાકીઆ
ਸਿਏਰਾ ਲਿਓਨ	સિએરા લિઓન
ਸੈਨ ਮਰੀਨੋ	સૈન મરીનો
ਸੇਨੇਗਲ	સેનેગલ
ਸੋਮਾਲੀਆ	સોમાલીઆ
ਸੂਰੀਨਾਮ	સૂરીનામ
ਦੱਖਣੀ ਸੂਡਾਨ	દખણી સૂડાન
ਸਾਓ ਟੋਮ ਅਤੇ ਪ੍ਰਿੰਸੀਪੇ	સાઓ ટોમ અતે પ્રિસીપે
ਅਲ ਸਲਵਾਡੋਰ	અલ સલવાડોર
ਸਿੰਟ ਮਾਰਟੀਨ	સિટ મારટીન
ਸੀਰੀਆ	સીરીઆ
ਸਵਾਜ਼ੀਲੈਂਡ	સવાજ઼ીલૈંડ
ਟ੍ਰਿਸਟਾਨ ਦਾ ਕੁੰਹਾ	ટ્રિસટાન દા કુહા
ਟੁਰਕਸ ਅਤੇ ਕੈਕੋਸ ਟਾਪੂ	ટુરકસ અતે કૈકોસ ટાપૂ
ਚਾਡ	ચાડ
ਫਰੈਂਚ ਦੱਖਣੀ ਪ੍ਰਦੇਸ਼	ફરૈંચ દખણી પ્રદેસ઼
ਟੋਗੋ	ટોગો
ਥਾਈਲੈਂਡ	થાઈલૈંડ
ਤਾਜਿਕਿਸਤਾਨ	તાજિકિસતાન
ਟੋਕੇਲਾਉ	ટોકેલાઉ
ਤਿਮੋਰ-ਲੇਸਤੇ	તિમોર-લેસતે
ਪੂਰਬੀ ਤਿਮੋਰ	પૂરબી તિમોર
ਤੁਰਕਮੇਨਿਸਤਾਨ	તુરકમેનિસતાન
ਟਿਊਨੀਸ਼ੀਆ	ટિઊનીસ઼ીઆ
ਟੌਂਗਾ	ટૌંગા
ਤੁਰਕੀ	તુરકી
ਟ੍ਰਿਨੀਡਾਡ ਅਤੇ ਟੋਬਾਗੋ	ટ્રિનીડાડ અતે ટોબાગો
ਟੁਵਾਲੂ	ટુવાલૂ
ਤਾਇਵਾਨ	તાઇવાન
ਤਨਜ਼ਾਨੀਆ	તનજ઼ાનીઆ
ਯੂਕਰੇਨ	યૂકરેન
ਯੂਗਾਂਡਾ	યૂગાંડા
ਸੰਯੁਕਤ ਰਾਜ	સયુકત રાજ
ਉਰੂਗਵੇ	ઉરૂગવે
ਉਜ਼ਬੇਕਿਸਤਾਨ	ઉજ઼બેકિસતાન
ਵੈਟੀਕਨ ਸਿਟੀ	વૈટીકન સિટી
ਸੇਂਟ ਵਿਨਸੈਂਟ ਐਂਡ ਗ੍ਰੇਨਾਡੀਨਸ	સેંટ વિનસૈંટ ઐંડ ગ્રેનાડીનસ
ਵੇਨੇਜ਼ੂਏਲਾ	વેનેજ઼ૂએલા
ਬ੍ਰਿਟਿਸ਼ ਵਰਜਿਨ ਟਾਪੂ	બ્રિટિસ઼ વરજિન ટાપૂ
ਯੂ ਐਸ ਵਰਜਿਨ ਟਾਪੂ	યૂ ઐસ વરજિન ટાપૂ
ਵੀਅਤਨਾਮ	વીઅતનામ
ਵਾਨੂਆਟੂ	વાનૂઆટૂ
ਵਾਲਿਸ ਅਤੇ ਫੂਟੂਨਾ	વાલિસ અતે ફૂટૂના
ਸਾਮੋਆ	સામોઆ
ਕੋਸੋਵੋ	કોસોવો
ਯਮਨ	યમન
ਮਾਯੋਟੀ	માયોટી
ਦੱਖਣੀ ਅਫਰੀਕਾ	દખણી અફરીકા
ਜ਼ਾਮਬੀਆ	જ઼ામબીઆ
ਜ਼ਿੰਬਾਬਵੇ	જ઼િબાબવે
ਅਣਪਛਾਤਾ ਖੇਤਰ	અણપછાતા ખેતર
