# Territory names from CLDR
असेंशन द्वीप	ಅಸೇಂಶನ ದ್ವೀಪ
तंज़ानिया	ತಂಜ಼ಾನಿಯಾ
यूक्रेन	ಯೂಕ್ರೇನ
युगांडा	ಯುಗಾಂಡಾ
संयुक्त राज्य	ಸಂಯುಕ್ತ ರಾಜ್ಯ
अमेरिका	ಅಮೇರಿಕಾ
उरूग्वे	ಉರೂಗ್ವೇ
उज़्बेकिस्तान	ಉಜ಼್ಬೇಕಿಸ್ತಾನ
वेटिकन सिटी	ವೇಟಿಕನ ಸಿಟೀ
सेंट विंसेंट और ग्रेनाडाइंस	ಸೇಂಟ ವಿಂಸೇಂಟ ಔರ ಗ್ರೇನಾಡಾಇಂಸ
वेनेज़ुएला	ವೇನೇಜ಼ುಏಲಾ
ब्रिटिश वर्जिन द्वीपसमूह	ಬ್ರಿಟಿಶ ವರ್ಜಿನ ದ್ವೀಪಸಮೂಹ
वियतनाम	ವಿಯತನಾಮ
वनुआतू	ವನುಆತೂ
वालिस और फ़्यूचूना	ವಾಲಿಸ ಔರ ಫ಼್ಯೂಚೂನಾ
समोआ	ಸಮೋಆ
कोसोवो	ಕೋಸೋವೋ
यमन	ಯಮನ
मायोते	ಮಾಯೋತೇ
दक्षिण अफ़्रीका	ದಕ್ಷಿಣ ಅಫ಼್ರೀಕಾ
ज़ाम्बिया	ಜ಼ಾಮ್ಬಿಯಾ
ज़िम्बाब्वे	ಜ಼ಿಮ್ಬಾಬ್ವೇ
अज्ञात क्षेत्र	ಅಜ್ಞಾತ ಕ್ಷೇತ್ರ
