# Baby names
నీకశ	نیكش
నీకాన్దర్య	نیكاندری
నీకాశా	نیكاشا
నీకుంజా	نیكونجا
నీక్కుం	نیككون
నీఖేల	نیكهیل
నీగీ	نیجی
నీచికా	نیتشیكا
నీధాన	نیدهان
నీనీశా	نینیشا
నీపునా	نیبونا
నీబోధీతా	نیبودهیتا
నీభా	نیبها
నీమ్రిత	نیمریت
నీరాలీ	نیرالی
నీల కాంతా	نیل كانتا
నీలనీ	نیلنی
నీలమణి	نیلمنی
నీలాంజనా	نیلانجنا
నీలాబ్జా	نیلابجا
నీలామ్బరీ	نیلامبری
నీలేశ	نیلیش
నీవ	نیو
నీశ్రుతా	نیشروتا
నీసమాం	نیسمان
నీహన	نیهن
నేదుమాన	نیدومان
నేమీ	نیمی
నేమీశా	نیمیشا
నైంశీ	ناینشی
నైజా	نایجا
నైమాథ	نایماته
నైషా	نایشا
పంచావక్త్ర	بنتشاوكتر
పంధారీ	بندهاری
పద్మనాభ	بدمنابه
పద్మనాభా	بدمنابها
పద్మరేఖా	بدمریكها
పద్మల	بدمل
పద్మలోచన	بدملوتشن
పద్మాంనాభాన	بدماننابهان
పద్మాంనేత్ర	بدماننیتر
పద్మాకలీ	بدماكلی
పద్మాక్షీ	بدماكشی
పద్మామ	بدمام
పద్మారాజ	بدماراج
పనితా	بنیتا
పన్కీల	بنكیل
పన్కోజ	بنكوج
పన్యశ్రీ	بنیشری
పమ్బా	بمبا
పరణావీ	برناوی
పరబ్రహ్మనా	بربرهمنا
పరమ-హంస	برم-هنس
పరమేశ్వరీ	برمیشوری
పరసమే	برسمي
పరాగ	براج
పరాన్జయ	برانجی
పరామితా	برامیتا
పరిణీతా	برینیتا
పరీశుధ	بریشوده
పరు	برو
పరుశీ	بروشی
పర్తిక	برتیك
పర్వతీప్రిత	بروتیبریت
పలానీచామ్య	بلانیتشامی
పలాశకుసూమ	بلاشكوسوم
పల్లవిత	بللویت
పళవా	بروا
పవనసుత	بونسوت
పవీథా	بویتها
పవీన	بوین
పవీశ	بویش
పవీశీకా	بویشیكا
పాండురంగ	باندورنج
పాగలావన	باجلاون
పాటవ	باطو
పాణినీ	بانینی
పానీక	بانیك
పాయోధర	بایودهر
పారమితా	بارمیتا
పారవాథీ	بارواتهی
పారిజాత	باریجات
పార్థే	بارتهي
పావకీ	باوكی
పావలీన	باولین
పావానా	باوانا
పింగా	بینجا
పినాకిన	بیناكین
పీఅల్లీ	بیاللی
పీయుశా	بییوشا
పీరనీథా	بیرنیتها
పీహూ	بیهو
పూజా	بوجا
పూజిత	بوجیت
పూనిశ	بونیش
పూర్వికా	بورویكا
పూర్వీ	بوروی
పేమల	بیمل
పోంనన	بوننن
పోగులా	بوجولا
పోన్మాంలా	بونمانلا
పోరోమాం	بورومان
పౌలోమీ	باولومی
ప్రకారనా	بركارنا
ప్రగ్నీకా	برجنیكا
ప్రచీతా	برتشیتا
ప్రనాయా	برنایا
ప్రనావ్యా	برناویا
ప్రబంజన	بربنجن
ప్రబకరణ	بربكرن
ప్రభావ	بربهاو
ప్రమ్లాతా	برملاتا
ప్రహాసా	برهاسا
ప్రాగీ	براجی
ప్రాచికా	براتشیكا
ప్రాణ	بران
ప్రానక	برانك
ప్రానల	برانل
ప్రాశా	براشا
ఫనిన్ద్రనాథ	بهنیندرناته
ఫాల్గున	بهالجون
ఫాల్గునీ	بهالجونی
ఫాల్యా	بهالیا
ఫుతికా	بهوتیكا
ఫూలమాలా	بهولمالا
