child	parent
http://www.wikidata.org/entity/Q3920813	http://www.wikidata.org/entity/Q7737
http://www.wikidata.org/entity/Q4161005	http://www.wikidata.org/entity/Q7737
http://www.wikidata.org/entity/Q13219769	http://www.wikidata.org/entity/Q7737
http://www.wikidata.org/entity/Q24699010	http://www.wikidata.org/entity/Q7737
http://www.wikidata.org/entity/Q27161619	http://www.wikidata.org/entity/Q7737
http://www.wikidata.org/entity/Q27807497	http://www.wikidata.org/entity/Q7737
http://www.wikidata.org/entity/Q104737002	http://www.wikidata.org/entity/Q7737
http://www.wikidata.org/entity/Q3197533	http://www.wikidata.org/entity/Q7838
http://www.wikidata.org/entity/Q4958328	http://www.wikidata.org/entity/Q7838
http://www.wikidata.org/entity/Q7508824	http://www.wikidata.org/entity/Q7838
http://www.wikidata.org/entity/Q7553088	http://www.wikidata.org/entity/Q7838
http://www.wikidata.org/entity/Q10961696	http://www.wikidata.org/entity/Q7838
http://www.wikidata.org/entity/Q11732317	http://www.wikidata.org/entity/Q7838
http://www.wikidata.org/entity/Q55185556	http://www.wikidata.org/entity/Q7838
http://www.wikidata.org/entity/Q837169	http://www.wikidata.org/entity/Q7850
http://www.wikidata.org/entity/Q837169	http://www.wikidata.org/entity/Q9192
http://www.wikidata.org/entity/Q837169	http://www.wikidata.org/entity/Q10913056
http://www.wikidata.org/entity/Q1920769	http://www.wikidata.org/entity/Q7850
http://www.wikidata.org/entity/Q2252191	http://www.wikidata.org/entity/Q7850
http://www.wikidata.org/entity/Q2371409	http://www.wikidata.org/entity/Q7850
http://www.wikidata.org/entity/Q2578935	http://www.wikidata.org/entity/Q7850
http://www.wikidata.org/entity/Q2735715	http://www.wikidata.org/entity/Q7850
http://www.wikidata.org/entity/Q2748296	http://www.wikidata.org/entity/Q7850
http://www.wikidata.org/entity/Q3110592	http://www.wikidata.org/entity/Q7850
http://www.wikidata.org/entity/Q3408030	http://www.wikidata.org/entity/Q7850
http://www.wikidata.org/entity/Q5100826	http://www.wikidata.org/entity/Q7850
